PARTY,Q2A_C,Q2A_D,Q2A_F,Q2B_A,Q2B_B,Q2B_C,Q2B_D,Q2B_E,Q2B_F,Q2B_G,Q2B_H,Q2B_I,Q2B_J,Q2B_K,Q2B_L,Q2B_M,Q2B_N,Q2B_O,Q2B_P,demFav,Q2A_A,Q2A_B,Q2A_E,repFav,cDemFav,zDemFav,zRepFav
Democrat,2,2,1,2,2,1,2,2,1,2,NA,NA,NA,3,NA,2,2,4,NA,3,4,NA,4,1,0.667138516,0.832253397,-1.247853227
Democrat,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,2,2,NA,NA,NA,1,3.083333333,4,NA,4,1,0.750471849,0.936211492,-1.247853227
Democrat,2,2,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.111111111,4,NA,2,2,0.778249627,0.970864191,0.009082872
Democrat,4,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3.5,4,4,4,1,1.167138516,1.456001971,-1.247853227
Republican,1,NA,2,2,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.142857143,4,2,3,2,0.809995659,1.010467275,0.009082872
Independent,2,3,2,1,3,1,2,3,3,3,2,NA,NA,NA,2,3,NA,3,NA,2.642857143,4,NA,3,1.5,0.309995659,0.386718701,-0.619385178
Democrat,3,NA,1,2,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,3,1.666666667,0.667138516,0.832253397,-0.409895828
Democrat,2,NA,1,2,2,2,2,2,2,NA,2,2,2,NA,NA,2,2,NA,NA,3.076923077,4,2,4,1.666666667,0.744061593,0.928214716,-0.409895828
Republican,4,4,4,4,4,4,4,4,4,4,NA,4,4,NA,NA,4,4,NA,NA,1,1,NA,2,3.5,-1.332861484,-1.662740901,1.894487019
Democrat,2,NA,1,3,2,2,2,1,2,NA,2,NA,2,NA,NA,2,3,3,NA,2.923076923,4,3,4,1.333333333,0.590215439,0.736292077,-0.828874527
Democrat,2,2,1,1,2,NA,3,2,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2.888888889,4,NA,4,1,0.556027405,0.693642602,-1.247853227
Republican,4,NA,4,3,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1,NA,NA,4,-1.132861484,-1.413241471,2.522955068
Democrat,3,NA,1,1,2,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.833333333,4,3,3,1.666666667,0.500471849,0.624337205,-0.409895828
Independent,4,NA,2,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,4,3,2,2,0.167138516,0.208504822,0.009082872
Independent,3,2,1,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.428571429,4,NA,3,1.5,0.095709945,0.119397883,-0.619385178
Democrat,3,NA,1,2,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,4,1,0.667138516,0.832253397,-1.247853227
Republican,4,NA,4,4,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,2,4,4,1.666666667,-1.332861484,-1.662740901,-0.409895828
Republican,4,4,3,4,4,4,4,4,4,NA,NA,NA,3,4,NA,NA,3,NA,NA,1.25,2,NA,2,3,-1.082861484,-1.350866613,1.26601897
Independent,4,NA,3,2,2,2,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.285714286,4,4,4,1,-0.047147198,-0.058815995,-1.247853227
Republican,4,NA,4,3,4,4,4,4,4,4,NA,4,4,NA,NA,4,4,NA,NA,1.076923077,2,NA,2,3,-1.255938407,-1.566779582,1.26601897
Democrat,2,NA,1,1,3,2,4,2,1,NA,3,2,NA,NA,NA,NA,2,3,2,2.846153846,4,2,4,1.666666667,0.513292362,0.640330758,-0.409895828
Democrat,2,NA,2,2,3,2,2,2,2,NA,NA,3,3,NA,3,NA,NA,NA,3,2.583333333,4,3,4,1.333333333,0.250471849,0.312462918,-0.828874527
Republican,3,3,3,4,NA,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,3,-0.332861484,-0.415243752,1.26601897
Democrat,3,NA,2,4,2,3,2,3,2,NA,NA,NA,3,3,3,3,3,NA,NA,2.230769231,4,2,3,2,-0.102092253,-0.127359795,0.009082872
Democrat,3,NA,1,2,3,3,3,2,2,3,NA,3,3,NA,3,NA,NA,NA,3,2.384615385,4,3,3,1.666666667,0.051753901,0.064562844,-0.409895828
Democrat,2,2,1,2,2,2,2,1,1,NA,2,NA,2,NA,2,NA,2,NA,NA,3.230769231,4,NA,4,1,0.897907747,1.120137354,-1.247853227
Independent,3,3,1,2,1,1,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,4,1,0.667138516,0.832253397,-1.247853227
Independent,3,NA,2,3,NA,NA,NA,4,4,NA,NA,NA,NA,3,NA,NA,2,NA,NA,2,3,2,2,2.666666667,-0.332861484,-0.415243752,0.84704027
Republican,4,4,4,4,4,4,4,4,4,NA,4,NA,NA,4,NA,NA,NA,NA,4,1,2,NA,4,2,-1.332861484,-1.662740901,0.009082872
Democrat,3,2,1,1,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75,4,NA,2,2,0.417138516,0.520379109,0.009082872
Republican,4,NA,4,4,4,4,4,4,4,4,4,NA,NA,NA,4,4,NA,NA,4,1,1,4,4,2,-1.332861484,-1.662740901,0.009082872
Independent,4,NA,4,4,4,4,4,4,4,NA,4,4,NA,NA,4,NA,NA,NA,NA,1,2,4,4,1.666666667,-1.332861484,-1.662740901,-0.409895828
Republican,4,NA,4,4,4,4,4,4,4,NA,4,NA,4,4,NA,4,NA,4,NA,1,1,4,2,2.666666667,-1.332861484,-1.662740901,0.84704027
Republican,4,NA,3,3,4,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1,3,2,3,-0.832861484,-1.038992326,1.26601897
Republican,4,4,4,4,4,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.142857143,1,NA,3,3,-1.190004341,-1.484527022,1.26601897
Independent,3,2,1,2,2,2,2,2,2,NA,3,NA,NA,NA,3,NA,2,NA,NA,2.833333333,4,NA,4,1,0.500471849,0.624337205,-1.247853227
Democrat,2,NA,1,2,2,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3.222222222,4,2,4,1.666666667,0.889360738,1.109474985,-0.409895828
Other,3,NA,2,3,3,4,4,4,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1.777777778,3,2,3,2.333333333,-0.555083706,-0.692465341,0.428061571
Other,4,NA,4,4,4,4,4,4,4,4,4,NA,NA,NA,3,NA,NA,4,3,1.153846154,3,3,3,2,-1.17901533,-1.470818262,0.009082872
